ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,BILL_AMT1,BILL_AMT2,PAY_AMT1,PAY_AMT2,PAY_AMT3,default payment next month
121,50000,Male,High_School,Single,37,2,2,2,46004,45976,1000,4035,1000,1
122,450000,Male,Graduate,Married,40,1,-2,-2,0,0,0,0,0,1
123,110000,Female,Graduate,Married,48,1,-2,-2,0,0,0,0,0,0
124,310000,Female,University,Married,35,2,0,0,304991,311243,13019,11128,8407,1
125,20000,Male,Graduate,Single,27,0,0,0,19115,18962,1404,1130,600,0
126,20000,Male,University,Single,23,1,-2,-2,0,0,0,0,0,0
127,200000,Male,High_School,Single,52,0,0,0,110151,99530,3568,3585,3602,0
128,180000,Male,Graduate,Married,36,0,0,0,163736,116422,4655,2690,2067,1
129,50000,Male,University,Married,51,0,0,0,3347,3899,1000,1066,1300,1
130,60000,Male,High_School,Married,55,3,2,2,60521,61450,2504,7,1200,0
131,30000,Female,Graduate,Single,23,1,-2,-2,4000,5645,5645,3508,27,0
132,240000,Male,Graduate,Single,41,1,-1,-1,95,2622,2622,3301,0,0
133,420000,Male,University,Married,34,0,0,0,253454,247743,9744,9553,7603,0
134,330000,Male,High_School,Married,46,0,0,0,227389,228719,8210,8095,8025,0
135,30000,Female,University,Single,22,0,0,0,28452,26145,2000,1400,0,0
136,240000,Male,University,Married,34,0,0,0,10674,12035,1500,1800,0,0
137,150000,Male,Graduate,Single,27,0,0,0,17444,19342,2500,3000,3000,0
138,210000,Female,University,Married,33,0,0,0,7166,7997,1500,1500,1000,0
139,50000,Female,High_School,Married,51,-1,-1,-1,752,300,300,5880,0,1
140,50000,Male,Graduate,Single,24,0,0,0,50801,50143,2360,1700,1000,0
141,240000,Male,Graduate,Single,47,1,-2,-2,0,0,0,0,0,1
142,180000,Male,University,Single,28,-1,-1,-1,1832,0,0,416,332,0
143,50000,Male,University,Single,23,1,2,2,10131,10833,1000,10000,400,0
144,170000,Male,University,Single,29,-2,-2,-2,12159,10000,10000,10000,10000,0
145,20000,Male,Graduate,Single,29,-1,-1,-1,1199,15586,15586,344,2340,0
146,50000,Male,Graduate,Single,28,0,0,0,4999,5913,1000,1500,2000,0
147,170000,Female,University,Single,27,0,0,0,19269,20313,1661,1200,351,1
148,200000,Male,Graduate,Single,34,1,2,0,197236,176192,8000,5000,55500,0
149,80000,Female,University,Married,23,1,2,3,9168,10522,1650,0,0,0
150,260000,Female,Graduate,Married,60,1,-2,-1,-1100,-1100,0,22500,0,0
151,140000,Male,University,Married,32,0,0,0,86627,78142,3455,3110,5000,0
152,80000,Male,Graduate,Single,25,0,0,0,42444,55744,30000,3000,6000,0
153,350000,Male,Graduate,Single,41,1,-1,-1,208,2906,2906,1000,630,0
154,280000,Female,University,Married,56,0,0,0,208775,182350,8042,6700,5137,0
155,30000,Female,High_School,Single,26,0,0,0,9014,10406,1700,1500,1000,0
156,140000,Male,Graduate,Married,34,0,0,0,23944,28049,5000,5000,11885,0
157,200000,Female,Graduate,Single,37,0,0,0,105420,102870,4000,3250,3250,0
158,200000,Female,High_School,Single,30,0,0,0,196031,196143,7300,7108,7680,0
159,210000,Male,High_School,Married,45,2,3,4,115785,122904,10478,10478,11078,1
160,50000,Male,High_School,Married,57,3,2,0,12854,12362,0,1600,500,0
161,30000,Male,Graduate,Single,41,2,2,2,24357,27453,3500,0,2200,0
162,50000,Male,University,Single,27,2,-1,-1,390,390,390,780,216,0
163,290000,Male,High_School,Married,47,-1,-1,-1,1234,396,396,396,792,0
164,250000,Female,Graduate,Married,34,0,0,2,141223,156858,17994,0,5469,0
165,60000,Female,University,Married,46,0,0,0,21148,23803,3000,1500,1500,0
166,110000,Female,Graduate,Single,27,0,0,0,101640,104795,5500,3900,3000,0
167,370000,Male,Graduate,Single,50,-2,-2,-2,6093,15130,15383,8204,15413,0
168,100000,Male,University,Married,27,-1,2,2,102349,96847,3166,0,1330,0
169,90000,Female,University,Married,35,0,0,0,72112,73854,3500,3500,3652,0
170,50000,Female,University,Single,22,0,0,0,28040,29092,1510,1442,982,0
171,270000,Male,University,Single,37,0,0,0,37695,33397,5000,2000,3000,0
172,300000,Female,Graduate,Single,30,-1,-1,-1,688,3280,3288,0,4340,0
173,50000,Female,University,Single,22,-1,0,0,8567,15273,15000,1000,149,0
174,50000,Female,Graduate,Single,24,1,-2,-2,-709,-709,0,0,0,1
175,360000,Male,Graduate,Single,29,1,-2,-1,0,0,0,77,0,0
176,130000,Male,High_School,Married,56,1,2,2,64617,65978,3000,3000,3000,1
177,80000,Male,Graduate,Single,30,-2,-1,0,6187,100,504,500,1000,0
178,50000,Male,University,Single,30,1,2,0,48860,47801,0,1500,1000,0
179,20000,Female,University,Single,22,0,0,0,16001,12622,1212,1201,500,0
180,80000,Female,University,Married,29,0,0,2,77883,81811,5800,1000,600,0
181,240000,Male,Graduate,Single,37,-1,-1,2,12212,26578,15000,0,2000,0
182,80000,Female,High_School,Single,35,0,-1,0,49608,12412,12500,6500,3000,0
183,500000,Female,Graduate,Married,47,0,0,0,56422,110616,70010,30357,30000,0
184,60000,Female,University,Married,24,0,0,0,58024,57891,2500,1600,3000,1
185,20000,Male,University,Single,25,0,0,0,10642,11677,1200,1593,601,0
186,100000,Female,University,Married,38,1,2,0,14483,13961,0,1600,1500,1
187,360000,Female,Graduate,Single,32,1,-1,-1,2616,57077,57087,5295,68454,0
188,200000,Female,High_School,Single,47,2,2,2,199436,202947,8214,7000,6800,1
189,130000,Female,University,Married,34,1,-1,0,0,5396,5396,5000,3500,0
190,20000,Female,University,Single,31,1,5,4,21703,21087,0,1000,0,0
191,310000,Male,Graduate,Single,32,0,0,0,59901,62147,10020,6031,10057,0
192,60000,Female,Graduate,Single,27,2,0,0,19625,20347,1342,1664,2000,1
193,180000,Female,Graduate,Single,29,-1,-1,-1,11386,199,199,0,0,0
194,180000,Female,Graduate,Single,24,-1,-1,2,14670,22087,37867,0,200,0
195,50000,Male,University,Married,36,0,0,0,47790,18114,2000,1000,2000,0
196,50000,Female,Graduate,Single,24,1,2,2,36166,37188,1900,1400,1700,1
197,150000,Female,University,Married,34,-2,-2,-2,0,0,0,0,116,0
198,20000,Female,Graduate,Single,22,0,0,0,18553,19446,1500,1032,541,0
199,500000,Female,Graduate,Married,34,-2,-2,-2,412,138,138,2299,1251,0
200,30000,Female,High_School,Single,22,1,2,2,29010,29256,1000,85,1714,1
201,180000,Female,Graduate,Married,38,-2,-2,-2,750,0,0,0,0,0
202,140000,Male,Graduate,Single,31,0,0,2,27123,27299,25000,0,3000,0
203,140000,Female,Graduate,Single,26,-1,0,-1,13424,18000,10000,13001,5841,0
204,120000,Male,University,Single,26,0,0,0,107314,110578,5000,5000,4152,0
205,360000,Female,University,Married,48,0,0,0,226430,231878,9100,7300,5800,0
206,20000,Male,High_School,Married,43,-1,-1,0,227,20351,22359,1305,1258,0
207,100000,Male,Graduate,Married,47,-1,-1,-1,390,1473,1473,390,390,0
208,210000,Female,University,Married,41,-1,-1,-1,3088,1586,1586,343,3763,1
209,80000,Female,University,Single,24,0,0,0,81625,81554,3200,3000,2038,1
210,330000,Female,Graduate,Married,50,-1,-1,-1,8872,4337,4345,2854,1702,0
211,220000,Male,Graduate,Single,24,0,0,0,105607,108917,5000,5050,8303,0
212,210000,Female,Graduate,Married,38,1,-2,-1,0,0,0,250,0,1
213,40000,Female,High_School,Married,43,0,0,0,38257,38901,1700,1504,1200,0
214,30000,Male,University,Single,39,0,0,0,28347,28108,3036,2309,0,0
215,470000,Male,University,Single,27,2,2,2,296573,303320,13000,11001,0,0
216,30000,Male,High_School,Married,42,-1,-1,-1,390,390,390,390,240,0
217,240000,Female,University,Married,36,1,-2,-2,-946,-946,0,0,0,1
218,80000,Male,University,Single,36,2,0,0,79278,78501,3100,3500,3400,0
219,110000,Female,High_School,Single,31,0,0,0,89989,84229,4000,5000,3000,0
220,310000,Female,Graduate,Single,38,-1,-1,-1,1424,4542,4542,126,0,0
221,360000,Female,Graduate,Married,40,2,2,2,105167,115468,12000,0,5900,1
222,330000,Female,High_School,Single,45,0,0,0,335196,334954,12388,12378,12116,0
223,300000,Female,University,Single,35,0,0,0,291619,297268,12019,9006,17000,0
224,320000,Female,University,Single,33,0,0,0,91653,94037,10042,18832,2117,0
225,50000,Female,High_School,Single,37,1,3,2,52626,51537,0,24,1500,1
226,170000,Female,Graduate,Single,28,0,0,0,130370,131199,6530,4860,22500,0
227,350000,Male,High_School,Married,44,-1,-1,-1,3265,2686,2686,1864,569,0
228,20000,Male,University,Married,37,0,0,0,16455,16511,1609,3000,663,0
229,50000,Male,University,Single,23,2,0,0,49758,48456,2401,2254,2004,1
230,20000,Female,High_School,Single,24,1,2,0,19154,18165,0,1333,500,0
231,50000,Female,Graduate,Single,24,0,0,0,35084,35796,2090,2002,1002,0
232,20000,Male,University,Single,23,1,2,0,20235,17132,0,1200,1000,1
233,50000,Male,University,Married,26,0,0,-2,102800,0,0,0,2624,0
234,190000,Male,University,Single,34,2,0,0,129801,131383,5000,5000,10000,1
235,60000,Female,University,Married,33,0,0,0,58203,36367,1506,1298,1000,0
236,80000,Male,Graduate,Single,35,-1,-1,-1,7988,3977,3983,6853,1719,0
237,150000,Female,University,Single,27,0,0,0,127402,110050,4500,1745,1566,0
238,210000,Female,Graduate,Single,31,-2,-2,-2,1440,0,0,7422,893,0
239,240000,Female,High_School,Married,50,0,0,0,234205,231669,10116,9150,8008,1
240,140000,Female,University,Single,41,0,0,0,19346,21708,3000,2000,2198,1
241,60000,Female,Graduate,Single,28,1,2,2,21501,20650,0,0,0,0
242,50000,Male,Graduate,Single,39,0,0,0,47174,47974,1800,2000,3000,0
243,50000,Female,University,Single,27,0,0,0,26655,27724,1800,1750,900,0
244,180000,Female,Graduate,Single,32,-1,-1,2,3139,5853,2821,0,0,0
245,30000,Female,Graduate,Single,40,-1,-1,2,142,215,355,120,0,0
246,20000,Female,University,Single,40,0,0,0,19816,20396,1601,2203,2114,0
247,250000,Female,University,Married,75,0,-1,-1,52874,1631,1631,1536,1010,0
248,100000,Female,University,Single,27,0,0,0,37767,34457,1788,1799,1100,0
249,330000,Male,Graduate,Single,25,0,0,0,46140,45781,2504,4007,5056,0
250,50000,Male,High_School,Married,46,0,0,0,35713,15392,1561,1268,587,0
251,50000,Female,University,Single,26,1,2,2,50867,51486,1710,136,1206,0
252,30000,Male,University,Single,28,0,0,0,29242,29507,5006,1244,851,0
253,140000,Female,University,Single,26,0,0,0,101551,105246,5366,5087,3605,1
254,160000,Female,Graduate,Single,28,0,0,0,70243,47779,7042,2000,1000,0
255,400000,Female,University,Single,29,-1,0,-1,19532,3719,3127,1469,4968,0
256,50000,Male,University,Married,25,0,0,0,27699,28513,1565,1393,980,0
257,140000,Female,University,Married,48,0,-1,-1,1154,1233,1233,1075,1355,0
258,160000,Female,University,Married,33,-1,-1,-1,8015,2453,2453,9880,52572,0
259,100000,Female,High_School,Married,43,0,0,-2,62170,0,0,0,0,0
260,220000,Male,Graduate,Married,48,2,0,0,210380,213522,10000,9020,6000,1
261,510000,Female,Graduate,Single,29,0,0,0,78331,99414,40010,20094,5000,0
262,50000,Male,University,Single,29,0,0,0,49276,35100,1602,1400,3000,0
263,160000,Female,Graduate,Married,38,-1,-1,-1,4473,4664,4664,5969,18941,0
264,230000,Female,Graduate,Single,37,-2,-2,-2,2283,50815,51315,0,0,0
265,80000,Female,Graduate,Single,37,-1,-1,-1,10115,249,258,5995,188,0
266,150000,Female,University,Married,25,-1,-1,-2,6156,0,0,0,316,0
267,10000,Male,High_School,Single,23,0,0,0,6974,7838,1134,1298,478,0
268,130000,Female,High_School,Single,49,0,0,0,89003,91362,4100,3095,1630,1
269,40000,Female,Graduate,Single,48,0,0,0,34871,34449,1600,1600,1500,0
270,50000,Male,University,Single,27,3,2,2,13694,14880,1700,0,426,1
271,100000,Male,High_School,Single,32,0,0,0,70003,31545,2035,2004,616,0
272,120000,Male,Graduate,Married,34,-1,2,-1,1082,632,0,1350,0,0
273,260000,Female,Graduate,Single,58,1,-2,-2,0,0,0,0,0,1
274,200000,Female,University,Single,33,0,0,0,11253,12852,2000,1322,2000,0
275,360000,Female,University,Single,28,-2,-2,-2,0,0,0,0,0,1
276,70000,Female,University,Single,36,0,0,0,68699,69120,4483,12496,3268,0
277,460000,Male,Graduate,Married,40,2,-1,-1,171,2715,2728,0,2654,1
278,50000,Female,Graduate,Single,26,-1,-1,-1,1156,316,316,316,316,0
279,50000,Male,High_School,Married,33,0,0,0,50859,50462,2007,2199,691,0
280,250000,Female,University,Married,31,0,0,0,103109,102594,4000,4500,5000,0
281,30000,Female,Graduate,Single,27,0,0,-1,1512,2458,1000,664,1500,0
282,270000,Male,University,Married,44,0,0,0,127543,109189,10063,5162,10150,0
283,180000,Female,High_School,Single,30,0,0,0,163935,153152,7722,6091,3563,0
284,100000,Female,Graduate,Single,28,0,0,0,53494,52656,4173,3000,2025,0
285,230000,Female,High_School,Married,32,0,0,0,195126,88743,5000,5000,5000,0
286,210000,Female,Graduate,Married,46,-1,-1,-1,110346,41986,41986,21874,20076,0
287,210000,Male,Graduate,Single,38,2,0,0,60502,62804,3276,2026,2000,0
288,440000,Female,University,Married,46,0,0,0,180641,181557,8610,6907,3727,0
289,100000,Female,University,Single,25,2,0,0,70896,71678,3472,2092,2000,1
290,240000,Female,University,Married,46,0,0,0,8751,9900,1295,1000,1000,0
291,280000,Male,Graduate,Single,33,-1,-1,-1,898,898,898,325,898,1
292,50000,Female,University,Single,22,1,-2,-2,0,0,0,0,0,1
293,30000,Male,University,Married,43,3,2,2,1700,2610,1100,0,300,0
294,10000,Male,University,Single,27,0,0,2,7015,10227,3507,0,500,1
295,130000,Male,Graduate,Single,29,1,-2,-2,0,0,0,0,0,0
296,200000,Male,Graduate,Single,31,0,0,0,194353,197344,9000,7465,4715,0
297,120000,Female,University,Married,29,-1,-1,-1,1686,657,657,2319,1423,0
298,210000,Female,University,Married,36,0,0,0,143225,142996,6483,5082,6000,0
299,280000,Female,Graduate,Married,36,0,0,0,58983,60788,2755,3463,1300,0
300,300000,Male,Graduate,Single,34,1,-2,-1,0,0,0,13001,0,1
301,100000,Male,University,Single,37,0,0,0,99209,98222,3490,2332,2314,0
302,440000,Female,Graduate,Single,36,-2,-2,-2,0,0,0,0,0,0
303,50000,Female,High_School,Married,40,0,0,0,49941,51213,2400,1206,1000,0
304,20000,Female,Graduate,Single,25,0,0,2,11968,14564,2800,0,4000,1
305,200000,Female,Graduate,Single,27,-1,-1,-1,871,665,665,960,3908,0
306,110000,Female,University,Single,26,-2,-2,-2,432,3220,3220,5904,0,0
307,500000,Female,University,Married,36,-1,-1,-1,10483,23956,23962,0,8500,0
308,300000,Female,University,Married,27,1,-1,-1,0,5215,5215,0,0,0
309,30000,Male,High_School,Married,55,2,2,2,9720,10613,1200,1200,2000,1
310,60000,Female,Graduate,Single,27,-1,-1,-1,20847,13801,13809,14583,4889,0
311,400000,Female,University,Married,38,-1,0,-1,3697,3600,1000,1354,5322,0
312,180000,Female,University,Married,34,0,0,0,143301,146333,7000,5000,5000,0
313,20000,Male,Graduate,Single,40,0,0,0,10934,13738,3000,3100,0,0
314,200000,Female,High_School,Married,49,-1,2,2,52439,51040,0,6000,0,1
315,100000,Male,Graduate,Single,27,0,0,0,55734,52557,1631,1286,200,0
316,60000,Male,University,Single,23,0,0,0,49507,33282,1970,2000,618,1
317,110000,Female,University,Single,36,0,0,0,47819,48947,2200,2500,2000,0
318,260000,Female,High_School,Married,53,1,-1,-1,0,165,165,526,452,0
319,50000,Female,High_School,Married,46,3,2,2,48522,50955,3754,1,1070,0
320,180000,Male,University,Single,29,1,-2,-2,-2,-2,0,0,0,0
321,110000,Male,University,Single,29,1,2,2,58362,56598,2500,0,2000,1
322,340000,Female,Graduate,Single,27,0,0,0,172180,180140,21105,5461,5000,0
323,50000,Male,University,Single,24,-1,0,0,1399,2441,1070,1500,3666,0
324,230000,Female,University,Married,28,0,0,0,26361,18826,1710,1100,1000,1
325,360000,Female,University,Single,32,0,0,0,93029,94054,10000,7000,10000,0
326,210000,Male,University,Single,43,1,-2,-1,0,0,0,38013,3000,0
327,220000,Female,University,Married,41,-1,2,2,650,650,325,0,950,1
328,60000,Female,University,Married,34,2,2,2,24898,27976,3800,0,3720,1
329,340000,Male,University,Married,55,-2,-1,-1,50396,44665,44665,8321,2190,0
330,150000,Male,Graduate,Married,40,2,2,2,99855,102586,5200,0,8100,0
331,200000,Female,University,Married,37,1,-1,2,-179,505,1000,0,6900,1
332,130000,Female,University,Single,40,0,0,2,9559,12394,3000,0,500,1
333,60000,Female,Graduate,Single,28,1,2,0,10540,10232,0,1483,673,0
334,400000,Female,University,Married,43,1,-2,-2,0,0,0,0,0,0
335,20000,Male,Graduate,Single,27,0,0,0,20571,19089,1323,1600,830,0
336,190000,Female,Graduate,Single,28,0,0,0,143464,146943,5795,7408,5645,0
337,260000,Female,Graduate,Single,30,0,0,0,156882,160246,10000,8000,6000,0
338,140000,Female,University,Single,31,-2,-2,-2,390,0,0,0,0,0
339,50000,Female,University,Married,31,0,0,0,46512,47716,1974,4406,1061,1
340,120000,Female,Graduate,Single,34,-1,-1,0,882,6531,6900,5037,1100,0
341,240000,Female,University,Single,30,-2,-2,-2,92,92,92,92,0,0
342,50000,Male,University,Single,36,0,0,0,5916,6172,1212,1200,0,0
343,200000,Female,Graduate,Single,29,-1,2,-1,2393,183,0,4872,20183,0
344,180000,Male,Graduate,Married,39,0,0,-1,274731,281713,11000,145000,26000,0
345,180000,Female,Graduate,Single,26,0,0,0,145403,138232,5440,5051,3835,0
346,160000,Female,Graduate,Single,29,-1,-1,-2,3097,-707,0,0,5000,0
347,100000,Female,University,Single,26,-1,-1,-1,1370,4192,4210,4159,1000,0
348,50000,Female,University,Single,29,0,0,0,47081,49316,3000,2000,2000,1
349,140000,Female,University,Single,31,0,0,0,138119,137950,6600,6500,5100,0
350,30000,Female,University,Single,26,0,0,0,17893,19012,1411,1522,621,1
351,90000,Male,Graduate,Single,26,0,0,-1,39128,20473,1541,4200,0,0
